grupo
ATUADOR MARCHA LENTA
BICO INJETOR
BOBINA IGN-INJECAO
BOMBA COMBUSTIVEL EL
BOTAO VIDRO ELETRICO
BUZINA
CANETA POLARIDADE
CHAVE LUZ
CORPO BORBOLETA -TBI
DIODO
ELETROVENTILADOR
LAMPADA HALOGENA
LAMPADA HALOGENA FRA
LAMPADA MINIATURA
LAMPADA MINIATURA FR
LAMPADA SUPER BRANCA
LAMPADA XENON ORIGIN
MEDIDOR FLUXO DE AR
MODULO IGNICAO
MOTOR LIMPADOR
REGULADOR PRESSAO
REGULADOR VOLTAGEM
RESISTENCIA VENTOINH
RETIFICADOR
ROLAMENTO LINHA ELET
SENSOR ABS
SENSOR BORBOLETA
SENSOR DETONACAO
SENSOR FASE
SENSOR MAP
SENSOR ROTACAO
SENSOR VELOCIDADE
TRIODO
VALVULA ELET.BUZINA
VELA IRIDIUM
VELAS IGN/AQUECE
